ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Audio_Files
Kawam-3sgNOM-5,,Kawam,3sgNOM,bo,bo,,,,,,,,8c75781d954c9e8a9448ae085ef5f702
Kawam-3sgNOM-6,,Kawam,3sgNOM,bo,bo,,,,,,,,
Kawam-3sgNOM-7,,Kawam,3sgNOM,bo,bo,,,,,,,,
Taeme-3sgNOM-1,,Taeme,3sgNOM,bo,bo,,,,,,,,934ab9ab5682e6022db9e7aaaaa2885c
Taeme-3sgNOM-2,,Taeme,3sgNOM,bo,bo,,,,,,,,
Taeme-3sgNOM-3,,Taeme,3sgNOM,bo,bo,,,,,,,,934ab9ab5682e6022db9e7aaaaa2885c
Taeme-3sgNOM-4,,Taeme,3sgNOM,bo,bo,,,,,,,,5b5eb06b773ba9da17912cb5683e532e
Taeme-3sgNOM-5,,Taeme,3sgNOM,bo,bo,,,,,,,,5b5eb06b773ba9da17912cb5683e532e
Taeme-3sgNOM-too-1,,Taeme,3sgNOM-too,bo ade,bo ade,,,,,,,,
Taeme-3sgNOM-too-2,,Taeme,3sgNOM-too,bwade,bwade,,,,,,,,
